,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
0,Bodily Force,Female,Black,Tensed,Folwell,Fight ,DISCON
1,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE
2,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC
3,Taser,Male,White,Tensed,Minnehaha,Emotionally Disturb Person ,FENTRY
4,Bodily Force,Male,White,Verbal Non-Compliance,Harrison,Person with a Gun ,OBSTRU
5,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL
6,Bodily Force,Male,Black,Verbal Non-Compliance,Folwell,Traffic Law Enforcement ,OBSTRU
7,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT
8,Bodily Force,Female,Other / Mixed Race,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB
9,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI
10,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB
11,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
12,Bodily Force,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON
13,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Weapon ,OBSTRU
15,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU
16,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON
17,Bodily Force,Female,Black,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB
18,Bodily Force,Male,White,Tensed,Willard - Hay,Check the Welfare ,CIC
19,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON
20,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE
21,Baton,Male,Black,Commission of Crime,North Loop,Fight ,LIQLIC
22,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER
23,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD
24,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA
25,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,WT
26,Taser,Male,Other / Mixed Race,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE
27,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL
