,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
0,Bodily Force,Female,Black,tensed,Violent,-93.298111,45.015878
1,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.225106,44.898115
2,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.269582,44.962688
3,Less Lethal Weapons,Male,White,tensed,Welfare & Emergency,-93.204183,44.906432
4,Bodily Force,Male,White,verbal non-compliance,Violent,-93.306312,44.979777
5,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.288659,44.959124
6,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.293698,45.013131
7,Bodily Force,Female,Black,other/unspecified,Domestic,-93.25732,45.011083
8,Bodily Force,Female,other,commission of crime,Suspicious & Disorder,-93.295639,45.000883
9,Bodily Force,Male,other,tensed,Property & Vehicle,-93.253396,44.988867
10,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.271289,44.975836
11,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.269013,44.982137
12,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
13,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.294958,45.011326
14,Bodily Force,Male,Black,tensed,Domestic,-93.247231,45.032532
15,Chemical Irritant,Female,White,commission of crime,Domestic,-93.293832,44.948361
16,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.295639,45.000883
17,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.313333,44.999711
18,Bodily Force,Male,Black,commission of crime,Violent,-93.280839,44.96706
19,Bodily Force,Male,Black,fled,Property & Vehicle,-93.277025,44.978019
20,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.270133,44.986175
21,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.27736,44.976774
22,Bodily Force,Male,Black,tensed,Domestic,-93.301983,44.980867
23,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.296905,44.925909
24,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.2802,44.999677
25,Less Lethal Weapons,Male,other,verbal non-compliance,Suspicious & Disorder,-93.273192,44.97468
26,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.288659,44.959124
27,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.286438,45.010118
28,Bodily Force,Male,Native American,tensed,Domestic,-93.283381,45.005359
29,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.309598,44.980447
30,Chemical Irritant,Male,White,commission of crime,Domestic,-93.293832,44.948361
31,Bodily Force,Male,White,tensed,Property & Vehicle,-93.257329,45.014978
32,Bodily Force,Male,Black,tensed,Violent,-93.258074,44.986713
33,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.296221,45.016752
34,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.284933,45.002031
35,Bodily Force,Female,other,verbal non-compliance,Violent,-93.249908,44.95464
36,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.296905,44.925909
37,Less Lethal Weapons,Male,Black,fled,Welfare & Emergency,-93.267657,44.968485
