,ForceType,Sex,Race,TypeOfResistance
0,Bodily Force,Female,Black,tensed
1,Bodily Force,Male,Black,fled
2,Bodily Force,Male,Black,verbal non-compliance
3,Less Lethal Weapons,Male,White,tensed
4,Bodily Force,Male,White,verbal non-compliance
5,Bodily Force,Male,Black,verbal non-compliance
6,Bodily Force,Male,Black,verbal non-compliance
7,Bodily Force,Female,Black,other/unspecified
8,Bodily Force,Female,other,commission of crime
9,Bodily Force,Male,other,tensed
10,Bodily Force,Male,Black,verbal non-compliance
11,Bodily Force,Male,Black,commission of crime
12,Bodily Force,Female,Black,commission of crime
13,Bodily Force,Male,Black,verbal non-compliance
14,Bodily Force,Male,Black,tensed
15,Chemical Irritant,Female,White,commission of crime
16,Bodily Force,Female,Black,commission of crime
17,Bodily Force,Male,White,tensed
18,Bodily Force,Male,Black,commission of crime
19,Bodily Force,Male,Black,fled
20,Less Lethal Weapons,Male,Black,commission of crime
21,Bodily Force,Male,Black,commission of crime
22,Bodily Force,Male,Black,tensed
23,Bodily Force,Male,White,other/unspecified
24,Bodily Force,Male,Black,fled
25,Less Lethal Weapons,Male,other,verbal non-compliance
26,Bodily Force,Male,Black,verbal non-compliance
27,Bodily Force,Male,Black,fled
28,Bodily Force,Male,Native American,tensed
29,Bodily Force,Female,Black,commission of crime
30,Chemical Irritant,Male,White,commission of crime
31,Bodily Force,Male,White,tensed
32,Bodily Force,Male,Black,tensed
33,Less Lethal Weapons,Male,Black,fled
34,Bodily Force,Male,Black,tensed
35,Bodily Force,Female,other,verbal non-compliance
36,Bodily Force,Male,White,other/unspecified
37,Less Lethal Weapons,Male,Black,fled
38,Bodily Force,Male,Black,fled
39,Bodily Force,Male,Native American,tensed
40,Less Lethal Weapons,Male,Black,commission of crime
41,Chemical Irritant,Male,Black,assaulting police officer or animal
42,Bodily Force,Male,Black,fled
43,Bodily Force,Female,Black,other/unspecified
44,Bodily Force,Male,White,commission of crime
45,Bodily Force,Male,White,fled
46,Bodily Force,Male,Black,tensed
47,Bodily Force,Male,White,tensed
48,Bodily Force,Male,other,fled
49,Chemical Irritant,Male,Black,tensed
50,Bodily Force,Male,Black,commission of crime
51,Bodily Force,Male,White,fled
52,Bodily Force,Male,Black,tensed
53,Less Lethal Weapons,Male,Black,assaulting police officer or animal
54,Bodily Force,Male,Native American,tensed
55,Bodily Force,Male,White,tensed
56,Bodily Force,Male,Black,tensed
57,Bodily Force,Male,Black,assaulting police officer or animal
58,Bodily Force,Male,Black,fled
59,Bodily Force,Male,other,fled
60,Chemical Irritant,Male,Black,verbal non-compliance
61,Bodily Force,Male,Black,tensed
62,Less Lethal Weapons,Male,White,fled
63,Bodily Force,Male,Black,fled
64,Bodily Force,Male,White,tensed
65,Bodily Force,Male,Black,verbal non-compliance
66,Bodily Force,Male,Black,fled
67,Bodily Force,Male,Black,other/unspecified
68,Bodily Force,Male,other,tensed
69,Less Lethal Weapons,Male,White,fled
70,Less Lethal Weapons,Male,Black,tensed
71,Chemical Irritant,Male,Black,fled
72,Bodily Force,Male,White,commission of crime
73,Bodily Force,Male,Black,tensed
74,Bodily Force,Male,Black,fled
75,Chemical Irritant,Male,Black,commission of crime
76,Bodily Force,Male,Black,assaulting police officer or animal
77,Less Lethal Weapons,Male,Native American,tensed
78,Bodily Force,Male,White,verbal non-compliance
79,Bodily Force,Male,White,tensed
80,Bodily Force,Male,White,fled
81,Bodily Force,Male,Black,other/unspecified
82,Bodily Force,Male,other,fled
83,Bodily Force,Male,Black,verbal non-compliance
84,Bodily Force,Male,Black,tensed
85,Chemical Irritant,Male,White,other/unspecified
86,Less Lethal Weapons,Male,Black,commission of crime
87,Bodily Force,Female,Black,commission of crime
88,Chemical Irritant,Male,White,commission of crime
89,Bodily Force,Male,other,tensed
90,Bodily Force,Male,Black,commission of crime
91,Chemical Irritant,Male,Black,verbal non-compliance
92,Bodily Force,Male,Black,commission of crime
93,Bodily Force,Male,other,fled
94,Bodily Force,Male,Black,fled
95,Bodily Force,Male,Black,fled
96,Bodily Force,Male,Black,tensed
97,Bodily Force,Male,White,fled
98,Bodily Force,Male,Black,verbal non-compliance
99,Bodily Force,Male,White,tensed
100,Bodily Force,Male,White,other/unspecified
101,Bodily Force,Male,White,tensed
102,Bodily Force,Male,other,tensed
103,Bodily Force,Male,Black,fled
104,Bodily Force,Male,White,other/unspecified
105,Less Lethal Weapons,Male,Black,fled
106,Bodily Force,Male,Black,tensed
107,Bodily Force,Male,Black,fled
108,Chemical Irritant,Male,White,verbal non-compliance
109,Bodily Force,Male,Black,commission of crime
110,Bodily Force,Male,Black,tensed
111,Bodily Force,Female,other,commission of crime
112,Bodily Force,Male,Black,fled
113,Bodily Force,Male,Black,verbal non-compliance
114,Bodily Force,Male,Black,verbal non-compliance
115,Bodily Force,Male,White,tensed
116,Less Lethal Weapons,Male,Black,fled
117,Bodily Force,Male,White,tensed
118,Less Lethal Weapons,Male,White,verbal non-compliance
119,Bodily Force,Male,Native American,tensed
120,Chemical Irritant,Male,White,fled
121,Bodily Force,Male,other,tensed
122,Less Lethal Weapons,Male,Black,tensed
123,Bodily Force,Male,Black,fled
124,Bodily Force,Male,Black,fled
125,Bodily Force,Male,White,verbal non-compliance
126,Bodily Force,Male,Black,tensed
127,Bodily Force,Male,White,commission of crime
128,Bodily Force,Male,Black,fled
129,Less Lethal Weapons,Male,Black,fled
130,Bodily Force,Male,other,tensed
131,Bodily Force,Male,Black,assaulting police officer or animal
132,Less Lethal Weapons,Male,Native American,tensed
133,Bodily Force,Male,Black,verbal non-compliance
134,Bodily Force,Female,Black,commission of crime
135,Chemical Irritant,Female,White,commission of crime
136,Bodily Force,Male,Black,fled
137,Bodily Force,Male,White,tensed
138,Bodily Force,Female,Black,tensed
139,Less Lethal Weapons,Male,Black,verbal non-compliance
140,Bodily Force,Male,other,fled
141,Less Lethal Weapons,Male,Native American,verbal non-compliance
142,Bodily Force,Male,Black,tensed
143,Bodily Force,Male,Black,commission of crime
144,Bodily Force,Female,Native American,tensed
145,Bodily Force,Male,Black,assaulting police officer or animal
146,Less Lethal Weapons,Male,Black,fled
147,Bodily Force,Male,White,tensed
148,Bodily Force,Female,Black,commission of crime
149,Bodily Force,Male,Black,verbal non-compliance
150,Less Lethal Weapons,Male,White,other/unspecified
151,Bodily Force,Female,Black,assaulting police officer or animal
152,Less Lethal Weapons,Male,Black,verbal non-compliance
153,Bodily Force,Male,other,fled
154,Less Lethal Weapons,Male,Black,tensed
155,Bodily Force,Male,Black,tensed
156,Bodily Force,Male,White,fled
157,Bodily Force,Male,Black,tensed
158,Bodily Force,Male,White,tensed
159,Bodily Force,Male,Black,verbal non-compliance
160,Less Lethal Weapons,Female,Black,commission of crime
161,Bodily Force,Male,Black,tensed
162,Less Lethal Weapons,Male,Black,assaulting police officer or animal
163,Bodily Force,Male,other,fled
164,Bodily Force,Male,Black,fled
165,Bodily Force,Male,Black,commission of crime
166,Bodily Force,Male,Black,tensed
167,Bodily Force,Male,White,fled
168,Bodily Force,Male,Black,fled
169,Bodily Force,Male,Black,commission of crime
170,Less Lethal Weapons,Male,Black,verbal non-compliance
171,Less Lethal Weapons,Male,Black,fled
172,Bodily Force,Male,Black,other/unspecified
173,Less Lethal Weapons,Male,Black,fled
174,Less Lethal Weapons,Male,Native American,tensed
175,Chemical Irritant,Female,Black,assaulting police officer or animal
176,Less Lethal Weapons,Male,Native American,tensed
177,Bodily Force,Male,Black,fled
178,Bodily Force,Female,Black,tensed
179,Bodily Force,Male,Black,tensed
180,Bodily Force,Male,Black,commission of crime
181,Bodily Force,Male,Black,fled
182,Bodily Force,Male,Native American,tensed
183,Bodily Force,Male,Black,verbal non-compliance
184,Bodily Force,Male,Black,verbal non-compliance
185,Bodily Force,Female,Black,assaulting police officer or animal
186,Bodily Force,Female,Black,tensed
187,Bodily Force,Male,White,commission of crime
188,Bodily Force,Male,Black,fled
189,Bodily Force,Male,Black,commission of crime
190,Bodily Force,Male,other,tensed
191,Chemical Irritant,Male,Black,commission of crime
192,Bodily Force,Male,Black,commission of crime
193,Less Lethal Weapons,Male,Black,commission of crime
194,Bodily Force,Male,Black,commission of crime
195,Less Lethal Weapons,Male,White,commission of crime
196,Bodily Force,Male,Black,commission of crime
197,Bodily Force,Male,White,tensed
198,Bodily Force,Male,White,commission of crime
199,Bodily Force,Male,White,other/unspecified
200,Bodily Force,Male,Black,fled
201,Bodily Force,Male,Black,tensed
202,Bodily Force,Male,Black,commission of crime
203,Bodily Force,Male,White,commission of crime
204,Less Lethal Weapons,Male,Black,other/unspecified
205,Less Lethal Weapons,Female,Native American,tensed
206,Less Lethal Weapons,Male,White,tensed
207,Bodily Force,Male,White,tensed
208,Bodily Force,Male,Black,verbal non-compliance
209,Bodily Force,Female,White,tensed
210,Bodily Force,Male,Black,tensed
211,Less Lethal Weapons,Male,Black,commission of crime
212,Bodily Force,Male,White,other/unspecified
213,Bodily Force,Male,White,fled
214,Less Lethal Weapons,Male,Black,assaulting police officer or animal
215,Bodily Force,Male,Black,commission of crime
216,Chemical Irritant,Female,White,commission of crime
217,Chemical Irritant,Male,Black,commission of crime
218,Bodily Force,Female,Black,other/unspecified
219,Less Lethal Weapons,Male,Black,tensed
220,Bodily Force,Male,White,fled
221,Bodily Force,Female,White,tensed
222,Bodily Force,Male,Black,fled
223,Bodily Force,Male,Black,tensed
224,Bodily Force,Male,Black,verbal non-compliance
225,Bodily Force,Male,White,fled
226,Less Lethal Weapons,Male,Black,fled
227,Bodily Force,Female,Native American,assaulting police officer or animal
228,Bodily Force,Male,Black,commission of crime
