,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
0,Bodily Force,Female,Black,Tensed,Folwell,Fight ,DISCON,45.015878,-93.298111
1,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE,44.898115,-93.225106
2,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC,44.962688,-93.269582
3,Taser,Male,White,Tensed,Minnehaha,Emotionally Disturb Person ,FENTRY,44.906432,-93.204183
4,Bodily Force,Male,White,Verbal Non-Compliance,Harrison,Person with a Gun ,OBSTRU,44.979777,-93.306312
5,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL,44.959124,-93.288659
6,Bodily Force,Male,Black,Verbal Non-Compliance,Folwell,Traffic Law Enforcement ,OBSTRU,45.013131,-93.293698
7,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT,45.011083,-93.25732
8,Bodily Force,Female,Other / Mixed Race,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB,45.000883,-93.295639
9,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
10,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB,44.975836,-93.271289
11,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU,44.982137,-93.269013
12,Bodily Force,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.980833,-93.27196
13,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Weapon ,OBSTRU,45.011326,-93.294958
15,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
16,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
17,Bodily Force,Female,Black,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB,45.000883,-93.295639
18,Bodily Force,Male,White,Tensed,Willard - Hay,Check the Welfare ,CIC,44.999711,-93.313333
19,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON,44.96706,-93.280839
20,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE,44.978019,-93.277025
21,Baton,Male,Black,Commission of Crime,North Loop,Fight ,LIQLIC,44.986175,-93.270133
22,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER,44.976774,-93.27736
23,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD,44.980867,-93.301983
24,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
25,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,WT,44.999677,-93.2802
26,Taser,Male,Other / Mixed Race,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE,44.97468,-93.273192
27,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL,44.959124,-93.288659
28,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
29,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
30,Bodily Force,Female,Black,Commission of Crime,Harrison,Attempt Pick-Up ,OBSTRU,44.980447,-93.309598
31,Chemical Irritant,Male,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
32,Bodily Force,Male,White,Tensed,Holland,Traffic Law Enforcement ,DWIREF,45.014978,-93.257329
33,Bodily Force,Male,Black,Tensed,Nicollet Island - East Bank,Assault in Progress ,ASLT3,44.986713,-93.258074
34,Taser,Male,Black,Fled on Foot,Folwell,Recover Vehicle ,RECVEH,45.016752,-93.296221
35,Bodily Force,Male,Black,Tensed,Hawthorne,Audible Residential Alarm ,BURGD,45.002031,-93.284933
36,Bodily Force,Female,Other / Mixed Race,Verbal Non-Compliance,East Phillips,Fight ,ASLT5,44.95464,-93.249908
37,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
38,Taser,Male,Black,Fled on Foot,Elliot Park,High Risk Warrant Entry ,NARC,44.968485,-93.267657
39,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
40,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
41,Taser,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.979702,-93.268029
42,Chemical Irritant,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.981655,-93.271963
43,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
44,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT,45.011083,-93.25732
45,Bodily Force,Male,White,Commission of Crime,Windom Park,Domestic Abuse-In Progress ,OBSTRU,45.009901,-93.244693
46,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
47,Bodily Force,Male,Black,Tensed,Central,Traffic Law Enforcement ,OBSTRU,44.937458,-93.274069
48,Bodily Force,Male,White,Tensed,Downtown West,Miscellaneous ,FORCE,44.979187,-93.273109
49,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
50,Chemical Irritant,Male,Black,Tensed,Webber - Camden,Suspicious Person ,FORCE,45.029365,-93.288728
51,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER,44.97924,-93.278939
52,Bodily Force,Male,White,Fled in Vehicle,Logan Park,Motor Vehicle Chase ,FLEE,45.007207,-93.252466
53,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
54,Taser,Male,Black,Assaulted Officer,Downtown West,Suspected Hazard ,ASLT5,44.978407,-93.278819
55,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
56,Bodily Force,Male,White,Tensed,Lowry Hill East,Domestic with Weapons ,DASLT2,44.954644,-93.295689
57,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
58,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.981655,-93.271963
59,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
60,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
61,Chemical Irritant,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC,44.962688,-93.269582
62,Bodily Force,Male,Black,Tensed,Near - North,Unknown Trouble ,DASLT5,44.995809,-93.281566
63,Taser,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE,44.943185,-93.265782
64,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
65,Bodily Force,Male,White,Tensed,Downtown West,On Site ,NOSMOK,44.979187,-93.273109
66,Bodily Force,Male,Black,Verbal Non-Compliance,Logan Park,Music-Loud ,OBSTRU,45.000899,-93.256903
67,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
68,Bodily Force,Male,Black,Unspecified,Jordan,Attempt Pick-Up ,WT,45.003397,-93.303748
69,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
70,Taser,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
71,Taser,Male,Black,Tensed,Audubon Park,Assault in Progress ,FORCE,45.021301,-93.244784
72,Chemical Irritant,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,OBSTRU,44.999677,-93.2802
73,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,DISCON,44.979626,-93.272499
75,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.015051,-93.312704
76,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH,45.005356,-93.284931
77,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
78,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4,44.979626,-93.272499
79,Taser,Male,Native American,Tensed,Ventura Village,Drunk/Intoxicated Person ,FORCE,44.96378,-93.251653
80,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Fight ,THFTSW,44.980065,-93.271883
81,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON,44.976808,-93.276431
82,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU,44.955542,-93.288675
83,Bodily Force,Male,Black,Unspecified,Bottineau,Miscellaneous ,DISCON,45.008036,-93.271699
84,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
